form	lemma	POS	morph
mensurae	mensura	NOMcom	Case=Gen|Numb=Sing
temperamento	temperamentum	NOMcom	Case=Abl|Numb=Sing
quod	quod1	PROrel	MORPH=empty
neque	neque	CONcoo	MORPH=empty
trans	trans2	PRE	MORPH=empty
crura	crus	NOMcom	Case=Acc|Numb=Plur
prodigae	prodigus	ADJqua	Case=Gen|Numb=Plur|Gend=Fem|Deg=Pos
nec	nec2	CONcoo	MORPH=empty
intra	intra2	PRE	MORPH=empty
genua	genu	NOMcom	Case=Acc|Numb=Plur
inverecundae	inuerecundus	ADJqua	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
nec	nec2	CONcoo	MORPH=empty
brachiis	brachium	NOMcom	Case=Abl|Numb=Plur
parcae	parcus	ADJqua	Case=Nom|Numb=Plur
nec	nec2	CONcoo	MORPH=empty
manibus	manus1	NOMcom	Case=Abl|Numb=Plur
artae	artus2	ADJqua	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
sed	sed	CONcoo	MORPH=empty
nec	nec2	CONcoo	MORPH=empty
cingulo	cingulum	NOMcom	Case=Dat|Numb=Sing
sinus	sinus	NOMcom	Case=Nom|Numb=Plur
dividere	diuido	VER	Mood=Inf|Tense=Pres|Voice=Act|Person=3
expedito	expeditus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut
umbratae	umbro	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
quadrata	quadratus2	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
iustitia	iustitia	NOMcom	Case=Nom|Numb=Sing
in	in	PRE	MORPH=empty
viris	uis	NOMcom	Case=Abl|Numb=Plur
stabant	sto	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
Pallii	Pallius	NOMpro	Case=Gen|Numb=Sing
extrinsecus	extrinsecus	ADV	Deg=Pos
habitus	habitus?	VER	Case=Nom|Numb=Plur
et	et2	CONcoo	MORPH=empty
ipse	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc
quadrangulus	quadrangulus	NOMcom	Case=Nom|Numb=Sing|Deg=Pos
ab	ab	PRE	MORPH=empty
utroque	uterque	PROind	Case=Abl|Numb=Sing|Gend=MascNeut
laterum	latus1	NOMcom	Case=Gen|Numb=Plur
regestus	regero	NOMcom	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
et	et2	CONcoo	MORPH=empty
cervicibus	ceruix	NOMcom	Case=Abl|Numb=Plur
circumstrictus	circumstrictus	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
in	in	PRE	MORPH=empty
fibulae	fibula	NOMcom	Case=Gen|Numb=Sing
morsu	morsus	NOMcom	Case=Abl|Numb=Sing
humeris	humerus	NOMcom	Case=Dat|Numb=Plur
acquiescebat	acquiesco	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
Instar	instar	NOMcom	Case=Ind
eius	is	PROdem	Case=Gen|Numb=Sing|Gend=Com
hodie	hodie	ADV	Deg=Pos
Aesculapio	Aesculapius	NOMpro	Case=Dat|Numb=Sing
iam	iam	ADV	Deg=Pos
vestro	uester	PROpos	Case=Dat|Numb=Sing|Gend=MascNeut
sacerdotium	sacerdotium	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Sic	sic	ADV	Deg=Pos
et	et2	CONcoo	Deg=Pos
in	in	PRE	MORPH=empty
proximo	propior	NOMcom	Case=Abl|Numb=Sing
soror	soror	NOMcom	Case=Nom|Numb=Sing
civitas	ciuitas	NOMcom	Case=Nom|Numb=Sing
vestiebat	uestio	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
sicubi	sicubi	CONsub	MORPH=empty
alibi	alibi	ADV	Deg=Pos
in	in	PRE	MORPH=empty
Africa	Africa	NOMpro	Case=Abl|Numb=Sing
Tyros	Tyrus	NOMpro	Case=Nom|Numb=Sing
At	at2	CONcoo	MORPH=empty
cum	cum3	CONsub	MORPH=empty
saecularium	saecularis	ADJqua	Case=Gen|Numb=Plur
sortium	sors	NOMcom	Case=Gen|Numb=Plur
variavit	uario	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
urna	urna	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
Romanis	Romani	NOMpro	Case=Dat|Numb=Plur
deus	deus	NOMcom	Case=Nom|Numb=Sing
maluit	malo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
soror	soror	NOMcom	Case=Nom|Numb=Sing
quidem	quidem	ADV	Deg=Pos
civitas	ciuitas	NOMcom	Case=Nom|Numb=Sing
suopte	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=MascNeut
arbitrio	arbitrium	NOMcom	Case=Abl|Numb=Sing
mutare	muto2	VER	Mood=Inf|Tense=Pres|Voice=Act
properavit	propero	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ut	ut4	CONsub	MORPH=empty
adpulsum	appello2	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
Scipionem	Scipio	NOMpro	Case=Acc|Numb=Sing
ante	ante1	ADV	Deg=Pos
iam	iam	ADV	Deg=Pos
de	de	PRE	MORPH=empty
habitu	habitus1	NOMcom	Case=Abl|Numb=Sing
salutasset	saluto	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
Romanum	Romanus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
praecoca	praecox	VER	Case=Nom|Numb=Sing|Deg=Pos
Vobis	uos	PROper	Case=Dat|Numb=Plur
vero	uero4	CONcoo	MORPH=empty
post	post2	PRE	MORPH=empty
iniuriae	iniuria	NOMcom	Case=Gen|Numb=Sing
beneficium	beneficium	NOMcom	Case=Acc|Numb=Sing
ut	ut4	CONsub	MORPH=empty
senium	senium	NOMcom	Case=Acc|Numb=Sing
non	non	ADVneg	MORPH=empty
fastigium	fastigium	NOMcom	Case=Nom|Numb=Sing
exemptis	eximo	VER	Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass
post	post1	ADV	MORPH=empty
Gracchi	Gracchus	NOMpro	Case=Gen|Numb=Sing
obscena	obscenus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
omina	omen	NOMcom	Case=Acc|Numb=Plur
et	et2	CONcoo	MORPH=empty
Lepidi	Lepidus	NOMpro	Case=Gen|Numb=Sing
violenta	uiolentus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
ludibria	ludibrium	NOMcom	Case=Acc|Numb=Plur
post	post2	PRE	MORPH=empty
trinas	trinus	ADJdis	Case=Acc|Numb=Plur|Gend=Fem
Pompei	Pompeius	NOMpro	Case=Gen|Numb=Sing
aras	ara	NOMcom	Case=Acc|Numb=Plur
et	et2	CONcoo	MORPH=empty
longas	longus	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
Caesaris	Caesar	NOMpro	Case=Gen|Numb=Sing
moras	mora	NOMcom	Case=Acc|Numb=Plur
ubi	ubi1	ADVrel	MORPH=empty
moenia	moenia	NOMcom	Case=Acc|Numb=Plur
Statilius	Statilius	NOMpro	Case=Nom|Numb=Sing
Taurus	Taurus	NOMpro	Case=Nom|Numb=Sing
imposuit	impono	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sollemnia	sollemne	NOMcom	Case=Acc|Numb=Plur
Sentius	Sentius	NOMpro	Case=Nom|Numb=Sing
Saturninus	Saturninus	NOMpro	Case=Nom|Numb=Sing
enarravit	enarro	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
cum	cum3	CONsub	MORPH=empty
concordia	concordia	NOMcom	Case=Abl|Numb=Sing
iuvat	iuuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
toga	toga	NOMcom	Case=Nom|Numb=Sing
oblata	offero	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Pro	pro1	PRE	MORPH=empty
quantum	quantum1	PROrel	Case=Acc|Numb=Sing|Gend=MascNeut
circummeavit	circummeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
a	ab	PRE	MORPH=empty
Pelasgis	Pelasgi	NOMpro	Case=Abl|Numb=Plur
ad	ad2	PRE	MORPH=empty
Lydos	Lydi	NOMpro	Case=Acc|Numb=Plur
a	ab	PRE	MORPH=empty
Lydis	Lydi	NOMpro	Case=Abl|Numb=Plur|Deg=Pos
ad	ad2	PRE	MORPH=empty
Romanos	Romani	NOMpro	Case=Acc|Numb=Plur
ut	ut4	CONsub	MORPH=empty
ab	ab	PRE	MORPH=empty
humeris	humerus	NOMcom	Case=Abl|Numb=Plur
sublimioris	sublimus1	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Comp
populi	populus1	NOMcom	Case=Gen|Numb=Sing
Carthaginienses	Carthaginienses	ADJqua	Case=Nom|Numb=Plur
complecteretur	complector	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Dep|Person=3
Exinde	exinde	ADV	Deg=Pos
tunicam	tunica	NOMcom	Case=Acc|Numb=Sing
longiorem	longus	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Comp
cinctu	cingo	VER	Case=Abl|Numb=Sing
arbitrante	arbitror	VER	Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Dep
suspenditis	suspendo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act
et	et2	CONcoo	MORPH=empty
pallii	pallium	NOMcom	Case=Gen|Numb=Sing
iam	iam	ADV	Deg=Pos
teretis	teres	ADJqua	Case=Gen|Numb=Plur|Gend=Com|Deg=Pos
redundantiam	redundantia	NOMcom	Case=Acc|Numb=Sing
tabulata	tabulatum	NOMcom	Case=Abl|Numb=Sing
congregatione	congregatio	NOMcom	Case=Abl|Numb=Sing
fulcitis	fulcio	VER	Numb=Plur|Gend=Com|Mood=Ind|Tense=Pres|Voice=Act
et	et2	CONcoo	MORPH=empty
si	si2	CONsub	MORPH=empty
quid	quis2	PROind	Case=Acc|Numb=Sing|Gend=Neut
praeterea	praeterea	ADV	Deg=Pos
condicio	condicio	NOMcom	Case=Nom|Numb=Sing
vel	uel2	CONcoo	MORPH=empty
dignitas	dignitas	NOMcom	Case=Nom|Numb=Sing
vel	uel2	CONcoo	MORPH=empty
temporalitas	temporalitas	NOMcom	Case=Nom|Numb=Sing
vestit	uestio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pallium	pallium	NOMcom	Case=Acc|Numb=Sing
tamen	tamen	ADV	Deg=Pos
generaliter	generaliter	ADV	Deg=Pos
vestrum	uester	PROper	Case=Acc|Numb=Sing
immemores	immemor	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
etiam	etiam	ADV	Deg=Pos
denotatis	denoto	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
Equidem	equidem	ADV	Deg=Pos
haud	haud	ADVneg	MORPH=empty
miror	miror	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
prae	prae2	PRE	MORPH=empty
documento	documentum	NOMcom	Case=Abl|Numb=Sing
superiore	superus	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Comp
Nam	nam	CONcoo	MORPH=empty
et	et2	CONcoo	MORPH=empty
arietem	aries	NOMcom	Case=Acc|Numb=Sing
non	non	ADVneg	MORPH=empty
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc
Laberius	Laberius	NOMpro	Numb=Sing
reciprocicornem	reciprocicor	NOMcom	Case=Acc|Numb=Sing
et	et2	CONcoo	MORPH=empty
lanicutem	lanicute	NOMcom	Case=Acc|Numb=Sing|Gend=MascFem
et	et2	CONcoo	MORPH=empty
testitrahum	testitrahus	NOMcom	Case=Acc|Numb=Sing
sed	sed	CONcoo	MORPH=empty
trabes	trabs	NOMcom	Case=Acc|Numb=Plur
machina	machina	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quae	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem
muros	murus	NOMcom	Case=Acc|Numb=Plur
frangere	frango	VER	Mood=Inf|Tense=Pres|Voice=Act
militat	milito2	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nemini	nemo	PROind	Case=Dat|Numb=Sing
unquam	umquam	ADV	Deg=Pos
adhuc	adhuc	ADV	Deg=Pos
libratum	libro	VER	Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
illa	ille	PROdem	Case=Nom|Numb=Sing|Gend=Fem
dicitur	dico2	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Carthago	Carthago	NOMpro	Case=Nom|Numb=Sing
studiis	studium	NOMcom	Case=Dat|Numb=Plur
asperrima	asper	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
belli	bellum	NOMcom	Case=Gen|Numb=Sing
prima	primus	ADJord	Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
omnium	omnis	PROind	Case=Gen|Numb=Plur|Gend=Com
armasse	armo	VER	Mood=Inf|Tense=Perf|Voice=Act
in	in	PRE	MORPH=empty
oscillum	oscillum1	NOMcom	Case=Acc|Numb=Sing
penduli	pendulus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
impetus	impetus	NOMcom	Case=Gen|Numb=Sing
commentata	commentor2	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Dep
vim	uis	NOMcom	Case=Acc|Numb=Sing
tormenti	tormentum	NOMcom	Case=Gen|Numb=Sing
de	de	PRE	MORPH=empty
bile	bilis	NOMcom	Case=Abl|Numb=Sing
pecoris	pecus1	NOMcom	Case=Gen|Numb=Sing
caput	caput	NOMcom	Case=Acc|Numb=Sing
vindicantis	uindico	VER	Case=Gen|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
Cum	cum3	CONsub	MORPH=empty
tamen	tamen	ADV	Deg=Pos
ultimant	ultimo2	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tempora	tempus1	NOMcom	Case=Nom|Numb=Plur
patriae	patria	NOMcom	Case=Gen|Numb=Sing
et	et2	CONcoo	MORPH=empty
aries	aries	NOMcom	Case=Nom|Numb=Sing
iam	iam	ADV	Deg=Pos
Romanus	Romanus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
in	in	PRE	MORPH=empty
muros	murus	NOMcom	Case=Acc|Numb=Plur
quodam	quidam	PROind	Case=Abl|Numb=Sing|Gend=MascNeut
suos	sui2	PROpos.ref	Case=Acc|Numb=Plur|Gend=Masc
audet	audeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
stupuere	stupeo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
illico	illico	ADV	Deg=Pos
Carthaginienses	Carthaginienses	NOMpro	Case=Acc|Numb=Plur
ut	ut1	ADVrel	MORPH=empty
novum	nouus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
extraneum	extraneus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
ingenium	ingenium	NOMcom	Case=Nom|Numb=Sing
Tantum	tantum1	PROdem	Case=Acc|Numb=Sing|Gend=MascNeut
aevi	aeuum	NOMcom	Case=Gen|Numb=Sing
longinqua	longinquus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
valet	ualeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mutare	muto2	VER	Mood=Inf|Tense=Pres|Voice=Act
vetustas	uetustas	NOMcom	Case=Nom|Numb=Sing
Sic	sic	ADV	Deg=Pos
denique	denique	ADV	Deg=Pos
nec	nec2	CONcoo	MORPH=empty
pallium	pallium	NOMcom	Case=Nom|Numb=Sing
agnoscitur	agnosco	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
nunc	nunc	ADV	Deg=Pos
aliunde	aliunde	ADV	Deg=Pos
res	res	NOMcom	Case=Nom|Numb=Sing
ne	ne4	CONsub	MORPH=empty
Poenicum	Poenicus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos
inter	inter	PRE	MORPH=empty
Romanos	Romani	NOMpro	Case=Acc|Numb=Plur
aut	aut	CONcoo	MORPH=empty
erubescat	erubesco	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aut	aut	CONcoo	MORPH=empty
doleat	doleo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Certe	certe	ADV	Deg=Pos
habitum	habitus1	NOMcom	Case=Acc|Numb=Sing
vertere	uerto	VER	Mood=Inf|Tense=Pres|Voice=Act
naturae	natura	NOMcom	Case=Gen|Numb=Sing
totius	totus	PROind	Case=Gen|Numb=Sing|Gend=Com
sollemne	sollemnis	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
munus	munus	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Fungitur	fungor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
et	et2	CONcoo	MORPH=empty
ipse	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
interim	interim	ADV	Deg=Pos
iste	iste	PROdem	Case=Nom|Numb=Sing|Gend=Masc
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc
incumbimus	incumbo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
Viderit	uideo	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
Anaximander	Anaximander	NOMpro	Case=Nom|Numb=Sing
si	si2	CONsub	MORPH=empty
plures	multus	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Comp
putat	puto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
viderit	uideo	VER	Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3
si	si2	CONsub	MORPH=empty
quis	quis2	PROind	Case=Nom|Numb=Sing|Gend=MascFem
uspiam	uspiam	ADV	Deg=Pos
alius	alius	PROind	Case=Nom|Numb=Sing|Gend=Masc
ad	ad2	PRE	MORPH=empty
Meropas	Meropa	NOMpro	Case=Acc|Numb=Plur|Gend=Fem
ut	ut1	ADVrel	MORPH=empty
Silenus	Silenus	NOMpro	Case=Nom|Numb=Sing
penes	penes	PRE	MORPH=empty
aures	auris	NOMcom	Case=Acc|Numb=Plur
Midae	Midas	NOMpro	Case=Gen|Numb=Sing
blatit	blatio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
aptas	aptus	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
sane	sane	ADV	Deg=Pos
grandioribus	grandis	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Comp
fabulis	fabula1	NOMcom	Case=Abl|Numb=Plur
Sed	sed	CONcoo	MORPH=empty
et	et2	CONcoo	MORPH=empty
si	si2	CONsub	MORPH=empty
quem	quis2	PROind	Case=Acc|Numb=Sing|Gend=Masc
Plato	Platon	NOMpro	Case=Nom|Numb=Sing
aestimat	aestimo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cuius	qui1	PROrel	Case=Gen|Numb=Sing|Gend=Com
imago	imago	NOMcom	Case=Nom|Numb=Sing
hic	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Masc
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
etiam	etiam	ADV	Deg=Pos
ille	ille	PROdem	Case=Nom|Numb=Sing|Gend=Masc
habeat	habeo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
necesse	necesse	ADJqua	Case=Ind|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
proinde	proinde	ADV	Deg=Pos
mutare	muto2	VER	Mood=Inf|Tense=Pres|Voice=Act
Quippe	quippe2	CONcoo	MORPH=empty
si	si2	CONsub	MORPH=empty
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
ex	ex	PRE	MORPH=empty
diversis	diuersus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
substantiis	substantia	NOMcom	Case=Abl|Numb=Plur
officiisque	officium	NOMcom	Case=Abl|Numb=Plur
{officiisque}	que	CON	MORPH=empty
constabit	consto	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ad	ad2	PRE	MORPH=empty
formam	forma	NOMcom	Case=Acc|Numb=Sing
eius	is	PROdem	Case=Gen|Numb=Sing|Gend=Com
quod	qui1	PROrel	Numb=Sing
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing|Deg=Pos
hic	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Masc
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
neque	neque	CONcoo	MORPH=empty
enim	enim2	CONcoo	MORPH=empty
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
si	si2	CONsub	MORPH=empty
non	non	ADVneg	MORPH=empty
ut	ut1	ADVrel	MORPH=empty
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
proinde	proinde	ADV	Deg=Pos
Diversa	diuersus	ADJqua	Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
in	in	PRE	MORPH=empty
unum	unum	NOMcom	Case=Acc|Numb=Sing
ex	ex	PRE	MORPH=empty
demutatione	demutatio	NOMcom	Case=Abl|Numb=Sing
diversa	diuersus	ADJqua	Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Denique	denique	ADV	Deg=Pos
diversitatis	diuersitas	NOMcom	Case=Gen|Numb=Sing
discordiam	discordia	NOMcom	Case=Acc|Numb=Sing
vices	uicis	NOMcom	Case=Nom|Numb=Plur
foederant	foedeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Ita	ita	ADV	Deg=Pos
mutando	muto2	VER	Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
erit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
omnis	omnis	PROind	Case=Nom|Numb=Sing|Gend=MascFem
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
ex	ex	PRE	MORPH=empty
diversitatibus	diuersitas	NOMcom	Case=Abl|Numb=Plur
corporatus	corporo	NOMcom	Case=Nom|Numb=Sing|Gend=Masc
et	et2	CONcoo	MORPH=empty
vicibus	uicis	NOMcom	Case=Abl|Numb=Plur
temperatus	temperatus2	ADJqua	Case=Nom|Numb=Sing|Gend=Masc
Nostra	noster	PROpos	Case=Nom|Numb=Sing|Gend=Fem
certe	certe	ADV	Deg=Pos
metatio	metatio	NOMcom	Case=Nom|Numb=Sing
quod	quod1	PROrel	Case=Nom|Gend=Neut
clausis	claudo1	VER	Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass
vel	uel2	CONcoo	MORPH=empty
in	in	PRE	MORPH=empty
totum	totum	NOMcom	Case=Acc|Numb=Sing
Homericis	Homericus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
oculis	oculus	NOMcom	Case=Abl|Numb=Plur
liquet	liqueo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
totum	totus	PROind	Case=Nom|Numb=Sing|Gend=Neut
versiforme	uersiformis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Dies	dies	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
nox	nox	NOMcom	Case=Nom|Numb=Sing
