form	lemma	POS	morph
hoc	hic1	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
saeculo	saeculum	NOMcom	Case=Abl|Numb=Sing
vivat	uiuo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
reatus	reatus	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep
necesse	necesse	ADJqua	Case=Ind|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Tu	tu	PROper	Case=Nom|Numb=Sing
es	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
diaboli	diabolus	NOMcom	Case=Gen|Numb=Sing
ianua	ianua	NOMcom	Case=Nom|Numb=Sing
tu	tu	PROper	Case=Nom|Numb=Sing
es	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
arboris	arbor	NOMcom	Case=Gen|Numb=Sing
illius	ille	PROdem	Case=Gen|Numb=Sing|Gend=Com
resignatrix	resignatrix	NOMcom	Case=Nom|Numb=Sing
tu	tu	PROper	Case=Nom|Numb=Sing
es	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
divinae	diuinus2	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
legis	lex	NOMcom	Case=Gen|Numb=Sing
prima	primus	ADJord	Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
desertrix	desertrix	NOMcom	Case=Nom|Numb=Sing
tu	tu	PROper	Case=Nom|Numb=Sing
es	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
quae	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem
eum	is	PROdem	Case=Acc|Numb=Sing|Gend=Masc
suasisti	suadeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc
diabolus	diabolus	NOMcom	Case=Nom|Numb=Sing
aggredi	aggredior	VER	Mood=Inf|Tense=Pres|Voice=Dep
non	non	ADVneg	MORPH=empty
valuit	ualeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Tu	tu	PROper	Case=Nom|Numb=Sing
imaginem	imago	NOMcom	Case=Acc|Numb=Sing
dei	deus	NOMcom	Case=Gen|Numb=Sing
hominem	homo	NOMcom	Case=Acc|Numb=Sing
tam	tam	ADV	Deg=Pos
facile	facile	ADV	Deg=Pos
elisisti	elido	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
Propter	propter2	PRE	MORPH=empty
tuum	tuus	PROpos	Case=Acc|Numb=Sing|Gend=MascNeut
meritum	meritum	NOMcom	Case=Acc|Numb=Sing
id	is	PROdem	Case=Nom|Numb=Sing|Gend=Neut
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mortem	mors	NOMcom	Case=Acc|Numb=Sing
etiam	etiam	ADV	Deg=Pos
filius	filius	NOMcom	Case=Nom|Numb=Sing
dei	deus	NOMcom	Case=Gen|Numb=Sing
mori	morior	VER	Mood=Inf|Tense=Pres|Voice=Pass
habuit	habeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
adornari	adorno	VER	Mood=Inf|Tense=Pres|Voice=Pass
tibi	tu	PROper	Case=Dat|Numb=Sing
in	in	PRE	MORPH=empty
mente	mens	NOMcom	Case=Abl|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
super	super2	PRE	MORPH=empty
pelliceas	pelliceus	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
tuas	tuus	PROpos	Case=Acc|Numb=Plur|Gend=Fem
tunicas	tunica	NOMcom	Case=Acc|Numb=Plur
Age	age	INJ	MORPH=empty
nunc	nunc	ADV	Deg=Pos
si	si2	CONsub	MORPH=empty
ab	ab	PRE	MORPH=empty
initio	initium	NOMcom	Case=Abl|Numb=Sing
rerum	res	NOMcom	Case=Gen|Numb=Plur
et	et2	CONcoo	MORPH=empty
Milesi	Milesus	NOMpro	Case=Nom|Numb=Sing|Gend=Masc
oves	ouis	NOMcom	Case=Nom|Numb=Plur
tonderent	tondeo	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
Seres	Seres	NOMpro	Case=Nom|Numb=Plur
arbores	arbor	NOMcom	Case=Nom|Numb=Plur
nerent	neo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
Tyrii	Tyrii	NOMpro	Case=Nom|Numb=Plur
tinguerent	tingo	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
Phryges	Phryges	NOMpro	Case=Nom|Numb=Plur
insuerent	insuesco	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
Babylonii	Babylonii	NOMpro	Case=Nom|Numb=Plur
intexerent	intexo	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
margaritae	margarita	NOMcom	Case=Nom|Numb=Plur
canderent	candeo	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
ceraunia	ceraunia	NOMcom	Case=Acc|Numb=Plur
coruscarent	corusco	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
si	si2	CONsub	MORPH=empty
ipsum	ipse	PROdem	Case=Acc|Numb=Sing|Gend=MascNeut
quoque	quoque	ADV	Deg=Pos
aurum	aurum	NOMcom	Case=Acc|Numb=Sing
iam	iam	ADV	Deg=Pos
de	de	PRE	MORPH=empty
terra	terra	NOMcom	Case=Abl|Numb=Sing
cum	cum2	PRE	MORPH=empty
cupiditate	cupiditas	NOMcom	Case=Abl|Numb=Sing
prodisset	prodeo1	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
si	si2	CONsub	MORPH=empty
iam	iam	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
speculo	speculum	NOMcom	Case=Abl|Numb=Sing
tantum	tantum2	ADV	Deg=Pos
mentiri	mentior	VER	Mood=Inf|Tense=Pres|Voice=Dep
liceret	licet1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
haec	hic1	PROdem	Case=Nom|Numb=Plur|Gend=Fem
Eva	Eua	NOMcom	Case=Nom|Numb=Plur
concupiit	concupio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
de	de	PRE	MORPH=empty
paradiso	paradisus	NOMcom	Case=Abl|Numb=Sing
expulsa	expello	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
iam	iam	ADV	Deg=Pos
mortua	morior	VER	Case=Abl|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Dep
opinor	opinor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
Ergo	ergo2	CONcoo	MORPH=empty
nec	nec2	CONcoo	MORPH=empty
nunc	nunc	ADV	Deg=Pos
appetere	appeto	VER	Mood=Inf|Tense=Pres|Voice=Act
debet	debeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
aut	aut	CONcoo	MORPH=empty
nosse	nosco	VER	Mood=Inf|Tense=Perf|Voice=Act
si	si2	CONsub	MORPH=empty
cupit	cupio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
reviviscere	reuiuisco	VER	Mood=Inf|Tense=Pres|Voice=Act
quae	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Neut
nec	nec2	CONcoo	MORPH=empty
habuerat	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
nec	nec2	CONcoo	MORPH=empty
noverat	nosco	VER	Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
quando	quando3	CONsub	MORPH=empty
vivebat	uiuo	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
Ideo	ideo	ADV	Deg=Pos
omnia	omnis	PROind	Case=Nom|Numb=Plur|Gend=Neut
ista	iste	PROdem	Case=Nom|Numb=Plur|Gend=Neut
damnatae	damno	VER	Case=Gen|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
et	et2	CONcoo	MORPH=empty
mortuae	morior	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos|Mood=Par|Tense=Perf|Voice=Dep
mulieris	mulier	NOMcom	Case=Gen|Numb=Sing
impedimenta	impedimentum	NOMcom	Case=Nom|Numb=Plur
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quasi	quasi1	ADVrel	MORPH=empty
ad	ad2	PRE	MORPH=empty
pompam	pompa	NOMcom	Case=Acc|Numb=Sing
funeris	funus	NOMcom	Case=Gen|Numb=Sing
constituta	constituo	VER	Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
Nam	nam	CONcoo	MORPH=empty
et	et1	ADV	Deg=Pos
illi	ille	PROdem	Case=Nom|Numb=Plur|Gend=Masc
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
ea	is	PROdem	Case=Acc|Numb=Plur|Gend=Neut
constituerunt	constituo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
damnati	damno	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
in	in	PRE	MORPH=empty
poenam	poena	NOMcom	Case=Acc|Numb=Sing
mortis	mors	NOMcom	Case=Gen|Numb=Sing
deputantur	deputo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
illi	ille	PROdem	Case=Nom|Numb=Plur|Gend=Masc
scilicet	scilicet	ADV	Deg=Pos
angeli	angelus	NOMcom	Case=Nom|Numb=Plur
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
ad	ad2	PRE	MORPH=empty
filias	filia	NOMcom	Case=Acc|Numb=Plur
hominum	homo	NOMcom	Case=Gen|Numb=Plur
de	de	PRE	MORPH=empty
caelo	caelum1	NOMcom	Case=Abl|Numb=Sing
ruerunt	ruo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ut	ut4	CONsub	MORPH=empty
haec	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Fem
quoque	quoque	ADV	Deg=Pos
ignominia	ignominia	NOMcom	Case=Nom|Numb=Sing
feminae	femina	NOMcom	Case=Gen|Numb=Sing
accedat	accedo1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Nam	nam	CONcoo	MORPH=empty
cum	cum3	CONsub	MORPH=empty
et	et2	CONcoo	MORPH=empty
materias	materia	NOMcom	Case=Acc|Numb=Plur
quasdam	quidam	PROind	Case=Acc|Numb=Plur|Gend=Fem
bene	bene	ADV	Deg=Pos
occultas	occultus	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
et	et2	CONcoo	MORPH=empty
artes	ars	NOMcom	Case=Acc|Numb=Plur
plerasque	plerusque	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Pos
non	non	ADVneg	MORPH=empty
bene	bene	ADV	Deg=Pos
revelatas	reuelo	VER	Case=Acc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
saeculo	saeculum	NOMcom	Case=Abl|Numb=Sing
multo	multo2	ADV	Case=Abl|Numb=Sing|Deg=Pos
magis	magis2	ADV	Deg=Comp
imperito	imperitus	ADV	Case=Abl|Numb=Sing
prodidissent	prodo	VER	Numb=Plur|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
siquidem	siquidem	CONsub	MORPH=empty
et	et2	CONcoo	MORPH=empty
metallorum	metallum	NOMcom	Case=Gen|Numb=Plur
opera	opus1	NOMcom	Case=Acc|Numb=Plur
nudaverant	nudo	VER	Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
herbarum	herba	NOMcom	Case=Gen|Numb=Plur
ingenia	ingenium	NOMcom	Case=Acc|Numb=Plur
traduxerant	traduco	VER	Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
incantationum	incantatio	NOMcom	Case=Gen|Numb=Plur
vires	uis	NOMcom	Case=Acc|Numb=Plur
provulgaverant	prouulgo	VER	Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
omnem	omnis	PROind	Case=Acc|Numb=Sing|Gend=MascFem
curiositatem	curiositas	NOMcom	Case=Acc|Numb=Sing
usque	usque	ADV	Deg=Pos
ad	ad2	PRE	MORPH=empty
stellarum	stella	NOMcom	Case=Gen|Numb=Plur
interpretationem	interpretatio	NOMcom	Case=Acc|Numb=Sing
designaverant	designo	VER	Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
proprie	proprie	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
quasi	quasi1	ADVrel	MORPH=empty
peculiariter	peculiariter	ADV	Deg=Pos
feminis	femina	NOMcom	Case=Dat|Numb=Plur
instrumentum	instrumentum	NOMcom	Case=Acc|Numb=Sing
istud	iste	PROdem	Case=Acc|Numb=Sing|Gend=Neut
muliebris	muliebris	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Pos
gloriae	gloria	NOMcom	Case=Gen|Numb=Sing
contulerunt	confero	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
lumina	lumen	NOMcom	Case=Acc|Numb=Plur
lapillorum	lapillus	NOMcom	Case=Gen|Numb=Plur
quibus	qui1	PROrel	Case=Abl|Numb=Plur|Gend=Com
monilia	monile	NOMcom	Case=Nom|Numb=Plur
variantur	uario	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et	et2	CONcoo	MORPH=empty
circulos	circulus	NOMcom	Case=Acc|Numb=Plur
ex	ex	PRE	MORPH=empty
auro	aurum	NOMcom	Case=Abl|Numb=Sing
quibus	qui1	PROrel	Case=Abl|Numb=Plur|Gend=Com
brachia	brachium	NOMcom	Case=Nom|Numb=Plur
artantur	arto	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et	et2	CONcoo	MORPH=empty
medicamenta	medicamentum	NOMcom	Case=Acc|Numb=Plur
ex	ex	PRE	MORPH=empty
fuco	fucus1	NOMcom	Case=Abl|Numb=Sing
quibus	qui1	PROrel	Case=Abl|Numb=Plur|Gend=Com
lanae	lana	NOMcom	Case=Nom|Numb=Sing
colorantur	coloro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et	et2	CONcoo	MORPH=empty
illum	ille	PROdem	Case=Acc|Numb=Sing|Gend=Masc
ipsum	ipse	PROdem	Case=Acc|Numb=Sing|Gend=MascNeut
nigrum	niger	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
pulverem	puluis	NOMcom	Case=Acc|Numb=Sing
quo	qui1	PROrel	Case=Abl|Numb=Sing|Gend=MascNeut
oculorum	oculus	NOMcom	Case=Gen|Numb=Plur
exordia	exordium	NOMcom	Case=Nom|Numb=Plur
producuntur	produco	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Haec	hic1	PROdem	Case=Nom|Numb=Plur|Gend=Neut
qualia	qualis1	PROrel	Case=Nom|Numb=Plur|Gend=Neut
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
interim	interim	ADV	Deg=Pos
iam	iam	ADV	Deg=Pos
ex	ex	PRE	MORPH=empty
doctorum	doctus	NOMcom	Case=Gen|Numb=Plur|Gend=MascNeut
suorum	suus	PROpos.ref	Case=Gen|Numb=Plur|Gend=MascNeut
qualitate	qualitas	NOMcom	Case=Abl|Numb=Sing
et	et2	CONcoo	MORPH=empty
conditione	conditio	NOMcom	Case=Abl|Numb=Sing
pronuntiari	pronuntio	VER	Mood=Inf|Tense=Pres|Voice=Pass
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quod	quod2	CONsub	MORPH=empty
nihil	nihil	PROind	Case=Ind
ad	ad2	PRE	MORPH=empty
integritatem	integritas	NOMcom	Case=Acc|Numb=Sing
peccatores	peccator	NOMcom	Case=Nom|Numb=Plur
nihil	nihil	PROind	Case=Ind
ad	ad2	PRE	MORPH=empty
castitatem	castitas	NOMcom	Case=Acc|Numb=Sing
adamatores	adamator	NOMcom	Case=Nom|Numb=Plur
nihil	nihil	PROind	Case=Ind
ad	ad2	PRE	MORPH=empty
timorem	timor	NOMcom	Case=Acc|Numb=Sing
dei	deus	NOMcom	Case=Gen|Numb=Sing
desertores	desertor	NOMcom	Case=Nom|Numb=Plur
spiritus	spiritus	NOMcom	Case=Acc|Numb=Plur
aut	aut	CONcoo	MORPH=empty
monstrare	monstro	VER	Mood=Inf|Tense=Pres|Voice=Act
potuerunt	possum1	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
aut	aut	CONcoo	MORPH=empty
praestare	praesto1	VER	Mood=Inf|Tense=Pres|Voice=Act
Si	si2	CONsub	MORPH=empty
doctrinae	doctrina	NOMcom	Case=Nom|Numb=Sing
dicendae	dico2	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mali	malus1	NOMcom	Case=Nom|Numb=Plur|Gend=Masc|Deg=Pos
magistri	magister	NOMcom	Case=Nom|Numb=Plur
male	male	ADV	Deg=Pos
docuerint	doceo	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
necesse	necesse	ADJqua	Case=Ind|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
si	si2	CONsub	MORPH=empty
mercedes	merces	NOMcom	Case=Acc|Numb=Sing
pro	pro1	PRE	MORPH=empty
libidine	libido	NOMcom	Case=Abl|Numb=Sing
nullius	nullus	PROind	Case=Gen|Numb=Sing|Gend=Com
rei	res	NOMcom	Case=Gen|Numb=Sing
turpis	turpis	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Pos
merces	merces	NOMcom	Case=Nom|Numb=Sing
decora	decus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Quid	quis1	PROint	Case=Nom|Numb=Sing|Gend=Neut
autem	autem	CONcoo	MORPH=empty
tanti	tantus	PROdem	Case=Gen|Numb=Sing|Gend=MascNeut
fuit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ista	iste	PROdem	Case=Acc|Numb=Plur|Gend=Neut
monstrare	monstro	VER	Mood=Inf|Tense=Pres|Voice=Act
sicut	sicut1	ADVrel	MORPH=empty
conferre	confero	VER	Mood=Inf|Tense=Pres|Voice=Act
utrumne	utrumne	ADVint	MORPH=empty
mulieres	mulier	NOMcom	Case=Nom|Numb=Plur
sine	sine	PRE	MORPH=empty
materiis	materia	NOMcom	Case=Abl|Numb=Plur
splendoris	splendor	NOMcom	Case=Gen|Numb=Sing
et	et2	CONcoo	MORPH=empty
sine	sine	PRE	MORPH=empty
ingeniis	ingenium	NOMcom	Case=Abl|Numb=Plur
decoris	decus	NOMcom	Case=Abl|Numb=Sing
placere	placeo	VER	Mood=Inf|Tense=Pres|Voice=Act
non	non	ADVneg	MORPH=empty
possent	possum1	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
hominibus	homo	NOMcom	Case=Dat|Numb=Plur
quae	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Fem
adhuc	adhuc	ADV	Deg=Pos
incultae	incultus2	ADJqua	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
et	et2	CONcoo	MORPH=empty
incompositae	incompositus	ADJqua	Numb=Plur|Gend=Fem|Deg=Pos
et	et2	CONcoo	MORPH=empty
ut	ut4	CONsub	MORPH=empty
ita	ita	ADV	Deg=Pos
dixerim	dico2	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=1
crudae	crudus	ADJqua	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos
ac	ac1	CONcoo	MORPH=empty
rudes	rudis2	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
angelos	angelus	NOMcom	Case=Acc|Numb=Plur
moverant	moueo	VER	Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
anne	anne	ADVint	MORPH=empty
